specimen_id	taxon_genbank	taxon_current	morphotype	life_history	locality	prefecture	river_system	habitat_type	collection_date	specimen_voucher	body_size_mm	egg_size_mm	otolith_srca	sex	cited_in	figure_table	notes
MiFish-LC104714	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Umegase-keikoku	Chiba				CBM:ZF:15831					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2015-10-24
MiFish-LC146304	Rhinogobius sp. OR	sp.OR			Japan: Kyoto, Miyazu, Kurita	Kyoto				CBM:ZF:16269					Miya & Sado (未公刊)		MiFish参照配列; 169bp; 日本海側
MiFish-LC193165	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Inzai, Kamenari River	Chiba				CBM:ZF:16527					Miya & Sado (未公刊)		MiFish参照配列; 169bp
MiFish-LC193280	Rhinogobius sp. OR	sp.OR			Japan: Nagano, Kami-ina	Nagano				CBM:ZF:16493					Miya & Sado (未公刊)		MiFish参照配列; 169bp; 内陸
MiFish-LC193300	Rhinogobius sp. OR	sp.OR			Japan: Akita	Akita				CBM:ZF:16609					Miya & Sado (未公刊)		MiFish参照配列; 169bp
MiFish-LC193444	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Narita	Chiba				CBM:ZF:16881					Miya & Sado (未公刊)		MiFish参照配列; 169bp
MiFish-LC193445	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Isumi, Ogiwara	Chiba				CBM:ZF:16068					Miya & Sado (未公刊)		MiFish参照配列; 169bp; 太平洋側河川
MiFish-LC458191	Rhinogobius sp. OR	sp.OR			Japan: Ehime, Iyo, Uwa-gawa River	Ehime				CBM:ZF:19340-1					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2018-08-30; 四国
MiFish-LC708242	Rhinogobius sp. OR	sp.OR			Japan: Chiba, trib. Miyako-gawa River	Chiba				CBM:ZF:22090					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2022-03-15
MiFish-LC713501	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Wakaba, Kashima-gawa River	Chiba				CBM:ZF:22167					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2022-04-29
MiFish-LC713502	Rhinogobius sp. OR	sp.OR			Japan: Chiba, Ichihara, trib. Murata-gawa River	Chiba				CBM:ZF:22138					Miya & Sado (未公刊)		MiFish参照配列; 1083bp; 採集2022-04-25
